Designator,Mid X,Mid Y,Rotation,Layer
C6,37.846,-21.87725,90.0,top
C7,39.624,-20.35325,270.0,top
J6,34.798,-26.67,270.0,top
U1,34.3235,-20.60725,0.0,top
