Designator,Footprint,Quantity,Value,LCSC Part #
"C6, C7",0603,2,100n,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
U1,XDCR_STHS34PF80TR,1,STHS34PF80TR,
